Summary,Description,Priority,Labels
Crear matriz de correcciones Hitos 1 y 2 con evidencia,"Construir una tabla de trazabilidad que liste observacion recibida, correccion aplicada, ubicacion en el documento y evidencia asociada. Criterios: incluye observaciones disponibles de Hito 1 y Hito 2; cada correccion tiene evidencia concreta; no se inventan observaciones sin respaldo.",High,"hito3,correcciones,rubrica"
Aplicar correcciones criticas del Hito 2 en informe base,"Asegurar que el informe base corregido contenga arquitectura, diagramas, pruebas, configuracion, gestion de cambios, riesgo tecnico y numeracion de paginas corregidos. Criterios: riesgo principal como integracion X-backend-NLP/IA; diagramas formales; diferencia entre prototipo local/mock e integracion productiva.",High,"hito3,hito2,correccion"
Actualizar diagramas tecnicos alineados al riesgo de integracion,"Actualizar o crear diagramas de contexto, componentes, despliegue y flujo de validacion, todos alineados con el prototipo y el riesgo principal. Criterios: contexto con usuario, X, bot, NLP/IA y persistencia; componentes con adaptadores, servicios y repositorios; despliegue local/MVP y produccion proyectada.",High,"hito3,diagramas,arquitectura"
Documentar diseno del prototipo de mitigacion,"Describir objetivo, alcance, arquitectura, componentes, tecnologias, contratos de entrada/salida y criterios de exito del prototipo. Criterios: explica como mitiga el riesgo tecnico; incluye criterios medibles; coincide con lo implementado.",High,"hito3,prototipo,diseno"
Refactorizar prototipo con adaptadores X y NLP/IA desacoplados,"Separar la logica de integracion en modulos/adaptadores para permitir mock, simulacion y reemplazo futuro por servicios reales. Criterios: existe adaptador X; existe adaptador NLP/IA; la logica de verificacion no depende directamente de Express ni de proveedores externos.",High,"hito3,backend,integracion"
Implementar manejo de errores timeouts y respuestas invalidas,"Agregar rutas de fallo controladas para errores de API, timeout del servicio NLP/IA y respuestas no estructuradas. Criterios: ante timeout se entrega respuesta segura y se registra metrica; ante respuesta invalida se evita publicar veredicto categorico; los errores quedan trazables.",High,"hito3,resiliencia,riesgo-tecnico"
Implementar trazabilidad y metricas de validacion del prototipo,"Registrar datos minimos de ejecucion para validar la mitigacion: timestamp, source, userId, verdict, confidence, latency, status y errorType cuando corresponda. Criterios: metricas comparan flujo exitoso y fallido; endpoint de metricas refleja resultados; evidencia usable en informe.",Medium,"hito3,metricas,observabilidad"
Crear pruebas de validacion para flujo exitoso y fallas controladas,"Definir y automatizar/documentar pruebas de validacion para los escenarios principales del prototipo. Criterios: health check, verificacion exitosa, webhook desde X mock, timeout/error NLP/IA y respuesta invalida o incompleta.",High,"hito3,testing,validacion"
Ejecutar pruebas y registrar resultados objetivos,"Ejecutar las pruebas del prototipo y guardar resultados, capturas o salidas de consola como evidencia. Criterios: documenta fecha, comando, resultado y evidencia; captura endpoints clave; resultados coherentes con criterios de validacion.",High,"hito3,evidencia,testing"
Analizar resultados y demostrar mitigacion del riesgo tecnico,"Comparar resultados obtenidos con criterios definidos y concluir si el riesgo fue mitigado total o significativamente. Criterios: interpreta evidencia, identifica limitaciones reales y explica que queda pendiente para produccion.",High,"hito3,analisis,riesgo-tecnico"
Redactar informe Hito 3 con evidencias y referencias internas,"Integrar correcciones, diseno, implementacion, validacion y analisis en el documento final. Criterios: portada, indice, numeracion, referencias y anexos; figuras/tablas/capturas identificadas; redaccion tecnica consistente.",High,"hito3,informe,documentacion"
Revision final contra rubrica y checklist de entrega,"Revisar el documento final punto por punto contra la rubrica antes de exportar y entregar. Criterios: cada criterio tiene evidencia localizada; no hay afirmaciones sin respaldo; documento listo para PDF.",High,"hito3,qa,entrega"
